,emoji,date,count,colour
431,❤️,2021-01-15,57,"rgb(110, 85, 18)"
432,🤣,2021-01-15,74,"rgb(224, 42, 127)"
433,👍,2021-01-15,39,"rgb(123, 196, 143)"
434,🙏,2021-01-15,39,"rgb(150, 22, 68)"
435,😊,2021-01-15,22,"rgb(236, 154, 218)"
436,👏,2021-01-15,30,"rgb(162, 53, 41)"
437,🤔,2021-01-15,26,"rgb(108, 220, 231)"
438,🙄,2021-01-15,34,"rgb(14, 75, 214)"
439,😍,2021-01-15,15,"rgb(163, 16, 230)"
440,😂,2021-01-22,120,"rgb(149, 4, 130)"
441,❤️,2021-01-22,47,"rgb(110, 85, 18)"
442,🤣,2021-01-22,64,"rgb(224, 42, 127)"
443,👍,2021-01-22,58,"rgb(123, 196, 143)"
444,🙏,2021-01-22,25,"rgb(150, 22, 68)"
445,😊,2021-01-22,30,"rgb(236, 154, 218)"
446,👏,2021-01-22,25,"rgb(162, 53, 41)"
447,🤔,2021-01-22,25,"rgb(108, 220, 231)"
448,🙄,2021-01-22,30,"rgb(14, 75, 214)"
449,😍,2021-01-22,26,"rgb(163, 16, 230)"
450,😂,2021-01-29,133,"rgb(149, 4, 130)"
451,❤️,2021-01-29,57,"rgb(110, 85, 18)"
452,🤣,2021-01-29,67,"rgb(224, 42, 127)"
453,👍,2021-01-29,50,"rgb(123, 196, 143)"
454,🙏,2021-01-29,47,"rgb(150, 22, 68)"
455,😊,2021-01-29,25,"rgb(236, 154, 218)"
456,👏,2021-01-29,21,"rgb(162, 53, 41)"
457,🤔,2021-01-29,28,"rgb(108, 220, 231)"
458,🙄,2021-01-29,30,"rgb(14, 75, 214)"
459,😍,2021-01-29,18,"rgb(163, 16, 230)"
460,😂,2021-02-05,119,"rgb(149, 4, 130)"
461,❤️,2021-02-05,57,"rgb(110, 85, 18)"
462,🤣,2021-02-05,66,"rgb(224, 42, 127)"
463,👍,2021-02-05,43,"rgb(123, 196, 143)"
464,🙏,2021-02-05,41,"rgb(150, 22, 68)"
465,😊,2021-02-05,26,"rgb(236, 154, 218)"
466,👏,2021-02-05,34,"rgb(162, 53, 41)"
467,🤔,2021-02-05,26,"rgb(108, 220, 231)"
468,🙄,2021-02-05,23,"rgb(14, 75, 214)"
469,😍,2021-02-05,21,"rgb(163, 16, 230)"
470,😂,2021-02-12,112,"rgb(149, 4, 130)"
